	station id	stationname	date	daytype	rides	year	month	day	week_day
851158	40470	Racine	2005-03-23	W	1286	2005	3	23	Wed
851179	40470	Racine	2007-04-17	W	2312	2007	4	17	Tue
851542	40470	Racine	2001-05-28	U	426	2001	5	28	Mon
851569	40470	Racine	2013-07-03	W	1848	2013	7	3	Wed
851669	40470	Racine	2007-06-13	W	1465	2007	6	13	Wed
851881	40470	Racine	2013-02-08	W	2687	2013	2	8	Fri
852127	40470	Racine	2008-02-06	W	2308	2008	2	6	Wed
852199	40470	Racine	2012-09-22	A	1945	2012	9	22	Sat
852355	40470	Racine	2007-01-27	A	875	2007	1	27	Sat
852771	40470	Racine	2007-09-24	W	2496	2007	9	24	Mon
852800	40470	Racine	2009-05-21	W	2318	2009	5	21	Thu
852813	40470	Racine	2011-03-03	W	2493	2011	3	3	Thu
852881	40470	Racine	2001-11-08	W	2533	2001	11	8	Thu
853059	40470	Racine	2016-01-10	U	625	2016	1	10	Sun
853268	40470	Racine	2004-01-05	W	2283	2004	1	5	Mon
853390	40470	Racine	2007-01-28	U	469	2007	1	28	Sun
853425	40470	Racine	2009-08-22	A	1129	2009	8	22	Sat
853685	40470	Racine	2006-10-21	A	1258	2006	10	21	Sat
854174	40470	Racine	2013-12-30	W	1073	2013	12	30	Mon
854343	40470	Racine	2007-10-12	W	2356	2007	10	12	Fri
854391	40470	Racine	2013-09-28	A	1472	2013	9	28	Sat
854426	40470	Racine	2011-07-22	W	1687	2011	7	22	Fri
854549	40470	Racine	2004-04-23	W	2547	2004	4	23	Fri
854567	40470	Racine	2006-04-16	U	428	2006	4	16	Sun
854780	40470	Racine	2013-11-14	W	2768	2013	11	14	Thu
854850	40470	Racine	2009-05-09	A	985	2009	5	9	Sat
854855	40470	Racine	2004-09-21	W	2621	2004	9	21	Tue
855031	40470	Racine	2014-11-21	W	3087	2014	11	21	Fri
855357	40470	Racine	2006-11-12	U	610	2006	11	12	Sun
855454	40470	Racine	2010-06-07	W	2319	2010	6	7	Mon
855630	40470	Racine	2002-09-08	U	585	2002	9	8	Sun
856076	40470	Racine	2012-05-09	W	2883	2012	5	9	Wed
856289	40470	Racine	2005-03-28	W	2259	2005	3	28	Mon
856355	40470	Racine	2002-12-01	U	393	2002	12	1	Sun
856690	40470	Racine	2017-08-19	A	1258	2017	8	19	Sat
857047	40470	Racine	2015-01-25	U	725	2015	1	25	Sun
857049	40470	Racine	2011-02-13	U	933	2011	2	13	Sun
857068	40470	Racine	2017-11-21	W	2631	2017	11	21	Tue
857099	40470	Racine	2017-03-07	W	2180	2017	3	7	Tue
857183	40470	Racine	2013-11-13	W	2894	2013	11	13	Wed
857338	40470	Racine	2012-05-16	W	2786	2012	5	16	Wed
857396	40470	Racine	2003-09-07	U	590	2003	9	7	Sun
857505	40470	Racine	2009-03-18	W	2481	2009	3	18	Wed
